id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.002119022,0.0016277465,0.009850153,0.0021779914,0.0057629277,0.0054994444,0.003962095,0.0050252876,0.005613934,0.00759938,0.009088078,0.008148121,0.013168407,0.0057908967,0.0137175275,0.026827743,0.009935072,0.004832984,0.0010499873,0.011383385,0.021654304,0.0046435473,0.002407084,0.0049039638,0.004762427,0.013072863,0.01417003,0.022920595,0.013210374,0.009047244,0.003277342,0.0013150143,0.016751373,0.011446166,0.008459509,0.0046182475,0.0023899141,0.008029448,0.0019447686,0.0024813863,0.021209346,0.010154073,0.006871305,0.005518918,0.034435403,0.026327912,0.008147051,0.012190829,0.024564812,0.0095016975,0.0026090292,0.006279827,0.005910906,0.0052281884,0.026046956,0.0154624535,0.001847412,0.011104117,0.012396081,0.008759171,0.009885705,0.004091691,0.019835621,0.003612507,0.0031177388,0.0041575474,0.011288382,0.0095693,0.006321523,0.0026881774,0.0025816327,0.024792943,0.0066453945,0.0061781825,0.003846824,0.0051253615,0.007987907,0.047248546,0.074681506,0.007871355,0.0012250562,0.0028198378,0.015386558,0.037073765,0.0079329545,0.0073590195,0.0005729968,0.0030707538,0.02879362,0.0092039015,0.0022382673,0.00063566805,0.0013587573,0.0046411217,0.0087329615,0.0087420875,0.00589307,0.0024118798,0.011128583
7,0.0028041059,0.006152599,0.0064747874,0.0069354037,0.009080948,0.008244926,0.0062998403,0.0076683275,0.01630005,0.009043604,0.011088229,0.0099289715,0.0063712257,0.009922204,0.0097484505,0.015348852,0.016698597,0.012209025,0.0054397834,0.0088818995,0.004118326,0.00758409,0.002630991,0.002706291,0.033017598,0.013388155,0.0071748965,0.012310675,0.028796928,0.008178231,0.008601832,0.007385082,0.0029219894,0.020965373,0.0039891414,0.010239239,0.006979217,0.006489836,0.0048905485,0.0031156885,0.016702594,0.005288362,0.0049775518,0.0063627213,0.01576288,0.01211219,0.0077932696,0.01758227,0.0065734237,0.008158365,0.0048206635,0.0063492595,0.011461459,0.004541555,0.010379616,0.0041834684,0.010348162,0.0037063386,0.0055740867,0.008848153,0.0059383465,0.021392286,0.008107952,0.005411155,0.0049918154,0.00979362,0.015736282,0.008545303,0.014830541,0.03519791,0.007616726,0.008242567,0.010043317,0.011072902,0.010215153,0.003783869,0.0113147395,0.010061998,0.01370723,0.0073959646,0.010966071,0.0123396125,0.015887395,0.026063217,0.0064180223,0.013271266,0.0050559263,0.0066759195,0.011770141,0.009297529,0.039684474,0.0060761333,0.0057753436,0.007585806,0.0065381075,0.020160345,0.005390262,0.0064671757,0.00952525
9,0.013142099,0.006129758,0.0054022945,0.0025040891,0.012952921,0.008608123,0.021404836,0.011023935,0.014027109,0.00822996,0.017874341,0.006705292,0.021920383,0.0034441072,0.019857062,0.007627716,0.0046480326,0.0070632794,0.0055101244,0.0066222246,0.021684153,0.0075302687,0.011947566,0.007615584,0.009279343,0.013732044,0.02414543,0.0044780225,0.007746887,0.005680254,0.008830672,0.003289885,0.01280896,0.0063810726,0.00467906,0.011697765,0.009455642,0.013116546,0.0038168007,0.010906047,0.014226296,0.006130154,0.0059372,0.009628253,0.0174151,0.012727482,0.010049766,0.0077557657,0.031817675,0.01000746,0.006383334,0.0028589277,0.016192889,0.008429134,0.0063049477,0.009804101,0.0071256044,0.00866386,0.0067792647,0.010882382,0.02459218,0.0074614235,0.005859887,0.0052341092,0.0029996636,0.009878249,0.008839773,0.009361094,0.0032028274,0.006365317,0.0026989053,0.008681566,0.0042391564,0.014826355,0.009579286,0.007917317,0.0055746865,0.014083457,0.032446094,0.010486746,0.003175287,0.0065848166,0.012830693,0.055488374,0.007981955,0.011251098,0.0044132713,0.007763222,0.019976396,0.0068581332,0.005292282,0.0019737629,0.0023530798,0.00946903,0.01200271,0.0077818087,0.006378063,0.0051820427,0.006276535
12,0.0033398883,0.0015115873,0.0020318592,0.002686134,0.0043858225,0.027840164,0.022543348,0.0075105755,0.015282217,0.009461686,0.01952283,0.0036340256,0.0055914293,0.002353782,0.037296116,0.005109947,0.0043410617,0.019904414,0.007275997,0.0063817855,0.028062345,0.0168724,0.008540667,0.0010853588,0.027120508,0.01280561,0.0051190327,0.0022157815,0.009756971,0.007758712,0.0062980014,0.005548518,0.0031164733,0.0071403035,0.0017081588,0.011195544,0.007132831,0.03970554,0.005577429,0.006269391,0.017722232,0.0036737858,0.0030000198,0.0023831907,0.011858503,0.017668612,0.006539678,0.0075807613,0.016597595,0.006841772,0.0020310357,0.0044721784,0.024453731,0.0028302935,0.0022193058,0.003241587,0.00581207,0.004246542,0.008022577,0.030987374,0.012631518,0.009591279,0.0018855863,0.0010853924,0.0024119862,0.013535391,0.0070972093,0.016826095,0.011786017,0.01730745,0.0021358132,0.024938038,0.0060612448,0.006568623,0.013096582,0.0017939828,0.007812201,0.0054789567,0.008462708,0.0040322663,0.0038640834,0.0014361368,0.020005625,0.02885884,0.0150844045,0.005651146,0.005897283,0.018006256,0.009687311,0.0048397304,0.007015509,0.0025478085,0.003555298,0.01117071,0.012886588,0.051305477,0.007551933,0.0063916235,0.006488763
13,0.00411683,0.009215562,0.014567551,0.0024139096,0.002947945,0.010950669,0.028276773,0.012731802,0.008457324,0.012067367,0.021020178,0.0055518593,0.0036378794,0.0030679703,0.019740669,0.0040145363,0.0040064533,0.0036338675,0.006292047,0.015886672,0.036533922,0.017933099,0.008047023,0.003572114,0.01632002,0.0050955187,0.012052346,0.010842505,0.008558942,0.007369361,0.0071605113,0.004575709,0.004559995,0.01112787,0.004114559,0.009252747,0.0032922637,0.034293223,0.011425513,0.006569833,0.011160507,0.009457897,0.006908819,0.004671423,0.008689686,0.0028121143,0.0038406434,0.010125136,0.022824723,0.0066114445,0.008249391,0.004432557,0.024756325,0.025124574,0.008083918,0.0036380452,0.005021537,0.009118778,0.012356474,0.039664935,0.009135239,0.033146974,0.0074028224,0.0071381466,0.008064285,0.008018567,0.0065287016,0.016714782,0.0046648253,0.010413848,0.006536054,0.018281514,0.004183056,0.0077113197,0.010717179,0.009873773,0.009647907,0.003076732,0.0074385414,0.0034285744,0.0078086443,0.0039564874,0.014789308,0.020931289,0.0059321695,0.004546974,0.00291794,0.016684119,0.011313807,0.007885131,0.0066465,0.0023010815,0.009209061,0.00845669,0.006534614,0.007069696,0.004612106,0.015598956,0.007838837
16,0.0063290885,0.01064611,0.006665885,0.0081099365,0.008410712,0.010639896,0.011753748,0.0072911894,0.016858116,0.011277643,0.010140044,0.004319183,0.013970241,0.0071142954,0.008595874,0.008735811,0.011918115,0.011416997,0.022141222,0.01673938,0.015037212,0.0075091766,0.005549761,0.011413843,0.010334514,0.016078623,0.015453967,0.0069547836,0.0106544355,0.010974373,0.007940186,0.008907456,0.00870862,0.014882485,0.004910792,0.0103654405,0.018017132,0.007330503,0.007612506,0.0058197407,0.0078070443,0.013409574,0.006766893,0.011013244,0.017440269,0.011196062,0.0037959511,0.011489878,0.0060506146,0.008555558,0.0069322325,0.0077777877,0.0125404615,0.016853632,0.010509068,0.0060643717,0.010504619,0.007197732,0.014421474,0.009029866,0.010353068,0.012907344,0.014510247,0.00778687,0.007550258,0.015157012,0.0105560785,0.0073318454,0.012367201,0.016448254,0.019185392,0.010156793,0.00676661,0.008549998,0.008403456,0.0071629565,0.011417292,0.007884338,0.00940173,0.0068660146,0.011606035,0.0067943637,0.008582495,0.014085642,0.009115896,0.009430993,0.006784583,0.013634314,0.0061696074,0.006804345,0.0092337765,0.0057213735,0.008597766,0.010019976,0.008602251,0.013374446,0.009733515,0.0076731537,0.006387403
19,0.004401457,0.008347145,0.005905079,0.010183933,0.011889301,0.0084387325,0.008980924,0.0074845753,0.00966752,0.01070536,0.009004458,0.013316716,0.006570039,0.0075786924,0.012996343,0.01494047,0.011637514,0.007834968,0.005574066,0.015342206,0.011849383,0.007935276,0.0077235713,0.0064241686,0.010701482,0.014877851,0.006471273,0.010526397,0.013751939,0.010715221,0.006480677,0.012116475,0.005555717,0.0122234905,0.014352049,0.010862081,0.0071698786,0.0066169524,0.007854651,0.0058810553,0.009371022,0.011894141,0.00698865,0.006096336,0.014754476,0.008365282,0.012164921,0.014641367,0.0068588182,0.011635166,0.0072814077,0.0070883664,0.00934039,0.006463532,0.018795105,0.007226912,0.011493392,0.006984799,0.011408899,0.014395693,0.0065444526,0.0112195285,0.007914116,0.004933901,0.0061918544,0.0113598015,0.013638764,0.012042034,0.018670622,0.021715214,0.007754718,0.013150109,0.0069989176,0.011630986,0.011840082,0.011704539,0.012834994,0.0089518,0.01728284,0.0060647954,0.0061589223,0.009012023,0.01702948,0.016443618,0.016238125,0.009556878,0.005474251,0.008429709,0.010547402,0.006824982,0.012057761,0.0040817424,0.006353787,0.009747515,0.0069578555,0.016415233,0.0143502625,0.010688617,0.0070500537
23,0.012491961,0.00864745,0.012587609,0.0141629465,0.01761658,0.0042622834,0.007665104,0.012770759,0.010695679,0.014018355,0.005709396,0.0045145215,0.0039299903,0.010597146,0.010861431,0.008542716,0.007056027,0.013207804,0.0026134332,0.01330621,0.005796578,0.010651779,0.0022734862,0.013446302,0.016860673,0.015399843,0.010370129,0.005223992,0.012601106,0.011912055,0.0087857265,0.0065281224,0.00789677,0.012991438,0.0029686834,0.016119163,0.010934131,0.011122672,0.008634155,0.007772057,0.030280316,0.0073078224,0.015674919,0.009353236,0.004314334,0.009893233,0.008675195,0.013447494,0.0039235693,0.0019224565,0.0075950464,0.010314405,0.017655356,0.009454067,0.01000825,0.0022075917,0.0034536333,0.005622167,0.011992202,0.0062438007,0.008810833,0.01957188,0.008679237,0.005806302,0.0029679793,0.0046922695,0.010855069,0.010349736,0.011945997,0.0110797165,0.00907972,0.019765439,0.009284135,0.008344442,0.0054353154,0.0059339507,0.018613728,0.007831014,0.022980042,0.0028189968,0.019795187,0.01562603,0.02341739,0.027292876,0.0040664687,0.010169435,0.0019054114,0.0054157022,0.018227715,0.006918056,0.01833907,0.011828195,0.0014267736,0.018727565,0.0032324058,0.008278082,0.012511701,0.0023868298,0.0027039824
24,0.0048276284,0.010367144,0.0071936534,0.008924534,0.01044301,0.011653537,0.0049460744,0.0028757448,0.017038574,0.007295002,0.014468745,0.0052617937,0.010182002,0.0024771078,0.014332985,0.009150515,0.019149063,0.0052313744,0.015705068,0.0054076123,0.008598174,0.011133702,0.0057706456,0.016914453,0.009201988,0.032303035,0.028338138,0.010399197,0.016539408,0.0049726088,0.00978271,0.0061008013,0.0030976818,0.0071912725,0.015935631,0.011411771,0.0066771344,0.0063334834,0.009474379,0.0038285586,0.01892798,0.015219075,0.0061994,0.013366054,0.016584076,0.010647498,0.0071241967,0.016360564,0.009455066,0.010005865,0.009840678,0.01533123,0.004383346,0.009118888,0.006725153,0.009935408,0.008785782,0.0054551032,0.0069450065,0.005016523,0.0043244027,0.0153913805,0.008914296,0.0065036644,0.0036449267,0.0065794615,0.009580948,0.015971735,0.014414489,0.010021713,0.0067875534,0.014288729,0.011290461,0.016696732,0.0056635006,0.0042657554,0.011230314,0.017921774,0.01896096,0.0053690034,0.0017682717,0.0058528,0.016997831,0.019721607,0.016023256,0.010848811,0.0036640333,0.010236678,0.012970742,0.0059262365,0.010739003,0.0022361982,0.0026054026,0.003508113,0.011042924,0.011165789,0.016924884,0.009266613,0.0043162024
28,0.00675137,0.015613742,0.012276978,0.006277541,0.0061349585,0.0070715076,0.014600493,0.008752898,0.016379314,0.009228595,0.012226074,0.0063464926,0.0078124707,0.0043211053,0.017071981,0.0069194725,0.009727925,0.0069228048,0.011132494,0.012345095,0.01594287,0.009326626,0.01319941,0.006088062,0.012517743,0.014036813,0.00930978,0.0068818317,0.010546753,0.0043906323,0.012374728,0.008212437,0.0047262777,0.013614525,0.006835161,0.00914093,0.006241199,0.017438129,0.013978798,0.007255846,0.017570317,0.007895092,0.0049984227,0.008407301,0.013943559,0.004864463,0.007443916,0.014082801,0.01674172,0.00885265,0.008481146,0.007587193,0.017754938,0.011106834,0.005503712,0.004679356,0.0056008776,0.0042440044,0.005474411,0.023365814,0.008469497,0.021141957,0.008436177,0.0066279573,0.008006814,0.008416893,0.010557479,0.015069096,0.009532507,0.007199612,0.0042910795,0.012344915,0.008606626,0.014501303,0.01718048,0.007638963,0.009981317,0.007937395,0.015213886,0.00873296,0.00603598,0.0070873806,0.017104654,0.014822854,0.012258104,0.006468184,0.0053165345,0.016603477,0.009477363,0.012871172,0.009811064,0.0043008886,0.009784306,0.011275347,0.014346001,0.007712972,0.008179166,0.011969603,0.0061175954
